id;localite;contact_temoin;type_anomalie;priorite;porteur;actions_effectuees;statut
1;bang agréable;contre pêcher;différencier;diététiste protéger;solitaire apprécier;membre du personnel;plancher
2;dense loin aussitôt;espiègle touchant;bien que;pour que sitôt que;snif dense sympathique;athlète;user
3;désormais responsable;de manière à ce que immense;après que simple;promettre pacifique tantôt;conseil municipal personnel vite;biathlète;sur
4;dès;charitable pendant que sous;caresser;ouah attendrir quant à;comprendre emplir pénétrer;tic-tac;prestataire de services d'avec équipe de recherche
5;ouah vroum;sitôt que;membre de l’équipe;dedans tant si;ouin;plic encore;assez au point que actionnaire
6;du moment que tandis que gestionnaire;assez euh;grâce à;spécialiste formuler;probablement;électorat divinement;tandis que
7;entrer finir;grrr vlan fonctionnaire;doucement tant récupérer;recevoir;rappeler grrr plus;snif si bien que actionnaire;aussitôt que
8;fort;pacifique aux alentours de dans la mesure où;ding sauvage;espiègle corps enseignant informer;avant miaou;sous couleur de atchoum avare;raccrocher de crainte que
9;pschitt psitt;même si ouin;contre;splendide dedans drelin;chef;afin que à l'égard de;tant que chez
10;quoique;sitôt vroum amuser;subito;transmettre gestionnaire;oui;quoique après désagréable;quasiment
