id;date_debut;date_limite;commentaire;statut
1;2025-07-09T13:03:50;2025-07-08T16:41:34;réparer main-d’œuvre;EN_COURS
2;2025-07-08T23:29:54;2025-07-08T20:59:57;alors tant;EN_COURS
3;2025-07-09T04:28:28;2025-07-09T13:05:51;à condition que;TERMINE
4;2025-07-09T05:38:40;2025-07-08T18:23:16;demain avouer même si;TRANSFERE
5;2025-07-09T02:21:05;2025-07-08T17:31:11;secouriste;TERMINE
6;2025-07-08T17:09:53;2025-07-09T02:39:12;à raison de bof avant;TRANSFERE
7;2025-07-09T15:09:50;2025-07-08T15:28:51;du moment que;EN_COURS
8;2025-07-08T16:46:52;2025-07-09T06:59:55;équipe de recherche connaître du moment que;EN_COURS
9;2025-07-08T16:50:38;2025-07-09T10:04:42;carrément;EN_COURS
10;2025-07-09T05:28:44;2025-07-08T23:20:46;secours plutôt cuicui;EN_COURS
