id;utilisateur;section;horodatage
1;sympathique bang;subito;2025-06-20T00:58:05
2;à condition que super;depuis énorme;2025-06-19T19:05:24
3;quelque puisque;entre-temps protéger;2025-06-20T13:40:47
4;ouch vu que vlan;incalculable;2025-06-20T08:23:52
5;très présidence perplexe;égoïste antagoniste commis de cuisine;2025-06-20T00:53:04
6;pendant que chef;autour de;2025-06-20T04:50:48
7;piquer alentour cot cot;miam oups auprès de;2025-06-20T04:31:47
8;responsable timide presque;de façon à ce que;2025-06-20T05:32:03
9;bang tant plic;collègue splendide électorat;2025-06-19T20:05:38
10;au-dessous rectorat;très;2025-06-19T16:35:20
