id;type;message;date_envoi;statut_lecture
1;clientèle;oublier;2025-06-20T12:59:03;false
2;au point que;si bien que aïe du moment que;2025-06-20T05:26:49;false
3;dès que a soutenir;emprunter fouiller dès que;2025-06-20T09:42:41;false
4;serrer outre;hi prévoir;2025-06-19T17:47:42;false
5;aller dring à l'égard de;ferme apercevoir offrir;2025-06-19T23:04:12;false
6;membre de l’équipe;envisager subito;2025-06-20T11:51:10;true
7;parlementaire collègue;pourpre;2025-06-20T00:51:15;false
8;miaou à peine adepte;du fait que d'entre tellement;2025-06-19T23:56:29;false
9;dring;prout précisément;2025-06-19T17:08:43;false
10;près présidence;miam;2025-06-20T02:06:17;true
