id;nom_site;code_oci;longitude;latitude;statut;technologie;en_service
1;ouch;que;13756.6;12360.04;acheter;ronron;false
2;hypocrite à raison de;sonner au moyen de;9949.94;12943.95;renouveler en face de d'entre;égoïste sage de façon à ce que;false
3;retentir;à raison de pourvu que accueillir;3694.11;8666.36;du moment que;y vlan;true
4;terriblement à la merci;ouch adepte membre à vie;21182.65;21448.28;plutôt;proche de;true
5;à l'entour de collaborer;patientèle;13416.18;26261.13;par naguère quand;tellement sous couleur de de manière à;false
6;vaste;suffisamment interrompre;13771.42;13794.16;tôt;comme;true
7;conseil municipal assister population du Québec;ah assez adepte;11208.41;12427.03;arracher éveiller;offrir partenaire;false
8;proche de;prout;9199.17;24508.26;officier de crainte que aborder;si bien que guide;false
9;reprendre secouriste;sitôt que lâcher glouglou;20373.63;2518.12;de manière à ce que meuh;touchant;true
10;de crainte que selon;vouh;10175.36;11375.13;commis;ding police chef;false
