id;nom;description;niveau;permissions
1;ouin;altruiste;15868;en guise de drelin
2;si bien que de crainte que quoique;aimable;31686;sitôt fumer
3;tellement broum drelin;de façon à hormis;2644;préoccuper
4;parlementaire;lâcher émérite pendant;8027;proche vraiment
5;ouah confondre libérer;de façon que;11512;totalement
6;à la merci selon;gravir sans que renaître;23128;large
7;patientèle en outre de;aussitôt que bè membre du personnel;32292;de façon à ce que
8;en outre de adhérer;à partir de secouriste;30959;de crainte que
9;large tant que;de manière à ce que diplomate pour que;24876;apprivoiser pas mal
10;dessous complètement;dans la mesure où;21671;de peur que délégation
